,nome,data criacao,rg,cpf,valor transacao
75,haha,2022-02-13 17:22:10.324228,981924,95983,273653
76,xap,2022-02-13 17:22:10.324228,271618,984447,307897
77,werterfef,2022-02-13 17:22:10.324228,124177,212152,509344
78,rhtrg,2022-02-13 17:22:10.324228,670851,223010,146484
79,wegrerfgfqw,2022-02-13 17:22:10.325229,140126,116711,219751
80,rhtrg,2022-02-13 17:22:10.325229,492988,875173,707086
81,deita,2022-02-13 17:22:10.325229,131999,896214,372942
82,wegrerfgfqw,2022-02-13 17:22:10.325229,389823,737050,459321
83,egrhtjer4f,2022-02-13 17:22:10.325229,315882,768436,748136
84,wegrerfgfqw,2022-02-13 17:22:10.325229,227135,526852,946652
85,rhtrg,2022-02-13 17:22:10.326229,977478,130179,663239
86,werterfef,2022-02-13 17:22:10.326229,498817,896956,334671
87,haha,2022-02-13 17:22:10.326229,416818,957044,666184
88,egrhtjer4f,2022-02-13 17:22:10.326229,20413,293311,63308
89,xap,2022-02-13 17:22:10.326229,475387,675787,231004
90,xap,2022-02-13 17:22:10.326229,233850,799166,519967
91,wegrerfgfqw,2022-02-13 17:22:10.327228,633135,693662,5297
92,wegrerfgfqw,2022-02-13 17:22:10.327228,954377,58071,243901
93,xap,2022-02-13 17:22:10.327228,558624,132137,749806
94,alou,2022-02-13 17:22:10.327228,766454,705736,106492
95,egrhtjer4f,2022-02-13 17:22:10.327228,208931,911853,608232
96,toma,2022-02-13 17:22:10.327228,304479,56220,859412
97,wegrerfgfqw,2022-02-13 17:22:10.327228,533541,468582,886240
98,xap,2022-02-13 17:22:10.327228,162785,617437,108506
99,xap,2022-02-13 17:22:10.328233,420306,372412,41931
100,haha,2022-02-13 17:22:10.328233,270243,277748,105580
101,werterfef,2022-02-13 17:22:10.328233,201514,596712,124743
102,egrhtjer4f,2022-02-13 17:22:10.328233,976769,28834,537372
103,alou,2022-02-13 17:22:10.328233,56160,55184,410416
104,rhtrg,2022-02-13 17:22:10.328233,690317,33618,100445
105,toma,2022-02-13 17:22:10.328233,90044,473613,864708
106,deita,2022-02-13 17:22:10.329231,41503,702059,11467
107,egrhtjer4f,2022-02-13 17:22:10.329231,608572,171272,563979
108,wegrerfgfqw,2022-02-13 17:22:10.329231,783473,751360,669273
109,xap,2022-02-13 17:22:10.329231,432337,93082,493867
110,xap,2022-02-13 17:22:10.329231,817521,542036,666181
111,haha,2022-02-13 17:22:10.329231,660195,884811,195189
112,werterfef,2022-02-13 17:22:10.329231,9992,136278,843831
113,haha,2022-02-13 17:22:10.329231,821624,877051,327589
114,haha,2022-02-13 17:22:10.330228,80113,636465,963824
115,egrhtjer4f,2022-02-13 17:22:10.330228,197298,588990,938986
116,deita,2022-02-13 17:22:10.330228,914215,89095,480492
117,rhtrg,2022-02-13 17:22:10.330228,410485,109697,139587
118,alou,2022-02-13 17:22:10.330228,54522,41888,591879
119,wegrerfgfqw,2022-02-13 17:22:10.334228,40338,542834,256208
120,xap,2022-02-13 17:22:10.335228,152284,873298,64167
121,rhtrg,2022-02-13 17:22:10.335228,255652,465068,180570
122,toma,2022-02-13 17:22:10.336228,654347,691315,616170
123,xap,2022-02-13 17:22:10.336228,880036,411113,978093
124,rhtrg,2022-02-13 17:22:10.336228,688177,268185,76145
125,haha,2022-02-13 17:22:10.336228,119211,95171,20941
126,deita,2022-02-13 17:22:10.336228,419803,540351,122802
127,werterfef,2022-02-13 17:22:10.337227,929987,563601,272473
128,wegrerfgfqw,2022-02-13 17:22:10.337227,236545,762391,351057
129,haha,2022-02-13 17:22:10.337227,906615,316370,610644
130,xap,2022-02-13 17:22:10.338232,461983,917338,487069
131,haha,2022-02-13 17:22:10.338232,508425,822745,645515
132,xap,2022-02-13 17:22:10.338232,350640,936913,25483
133,deita,2022-02-13 17:22:10.339229,769412,730908,546843
134,toma,2022-02-13 17:22:10.339229,723235,930593,463541
135,rhtrg,2022-02-13 17:22:10.339229,581230,822959,400263
136,rhtrg,2022-02-13 17:22:10.339229,998671,344541,515299
137,deita,2022-02-13 17:22:10.339229,552727,726266,625436
138,werterfef,2022-02-13 17:22:10.340229,989823,498268,875838
139,xap,2022-02-13 17:22:10.340229,590721,767522,834187
140,haha,2022-02-13 17:22:10.342230,26426,582948,510889
141,egrhtjer4f,2022-02-13 17:22:10.343228,278228,754317,958126
142,deita,2022-02-13 17:22:10.343228,908659,227718,206944
143,alou,2022-02-13 17:22:10.344228,225111,794694,725974
144,werterfef,2022-02-13 17:22:10.344228,832998,731944,744384
145,rhtrg,2022-02-13 17:22:10.344228,205259,204898,923181
146,haha,2022-02-13 17:22:10.345231,604069,447190,243122
147,werterfef,2022-02-13 17:22:10.345231,821592,804974,945933
148,werterfef,2022-02-13 17:22:10.345231,354459,539282,898347
149,alou,2022-02-13 17:22:10.345231,877895,934518,217885
150,egrhtjer4f,2022-02-13 17:22:10.346231,501894,592667,355442
151,haha,2022-02-13 17:22:10.346231,774132,818226,864997
152,alou,2022-02-13 17:22:10.346231,436136,124074,203304
153,egrhtjer4f,2022-02-13 17:22:10.347230,720167,32608,601295
154,wegrerfgfqw,2022-02-13 17:22:10.347230,413170,986188,124148
155,haha,2022-02-13 17:22:10.348230,14772,484246,561321
156,rhtrg,2022-02-13 17:22:10.348230,993176,213796,883913
157,rhtrg,2022-02-13 17:22:10.349232,993420,894767,811990
158,werterfef,2022-02-13 17:22:10.349232,97884,660231,112828
159,toma,2022-02-13 17:22:10.349232,675240,704788,607143
160,wegrerfgfqw,2022-02-13 17:22:10.349232,151527,961255,141873
161,rhtrg,2022-02-13 17:22:10.349232,991883,540400,118978
162,toma,2022-02-13 17:22:10.350229,394319,560863,198184
163,egrhtjer4f,2022-02-13 17:22:10.350229,685468,342261,863519
164,werterfef,2022-02-13 17:22:10.350229,766468,801838,90130
165,deita,2022-02-13 17:22:10.350229,391523,529346,544352
166,wegrerfgfqw,2022-02-13 17:22:10.350229,964977,968220,700021
167,werterfef,2022-02-13 17:22:10.351228,484997,185129,599665
168,alou,2022-02-13 17:22:10.351228,2040,84477,807719
169,werterfef,2022-02-13 17:22:10.351228,875671,90206,388875
170,werterfef,2022-02-13 17:22:10.351228,415209,896265,370321
171,rhtrg,2022-02-13 17:22:10.351228,991559,24577,668912
172,werterfef,2022-02-13 17:22:10.351228,103996,792704,905800
173,egrhtjer4f,2022-02-13 17:22:10.351228,104884,29317,783486
174,rhtrg,2022-02-13 17:22:10.351228,328473,326961,116191
175,toma,2022-02-13 17:22:10.352231,900091,94968,610436
176,werterfef,2022-02-13 17:22:10.352231,569964,86938,985600
177,deita,2022-02-13 17:22:10.352231,743122,720006,269639
178,wegrerfgfqw,2022-02-13 17:22:10.352231,265036,939190,141867
179,wegrerfgfqw,2022-02-13 17:22:10.352231,331622,671672,915303
180,haha,2022-02-13 17:22:10.352231,35481,699057,297030
181,egrhtjer4f,2022-02-13 17:22:10.352231,76056,251107,94142
182,deita,2022-02-13 17:22:10.353228,843978,793258,211937
183,egrhtjer4f,2022-02-13 17:22:10.353228,345397,365006,347227
184,egrhtjer4f,2022-02-13 17:22:10.353228,29188,654257,582816
185,xap,2022-02-13 17:22:10.353228,66797,870430,382550
186,deita,2022-02-13 17:22:10.353228,78672,490153,102878
187,wegrerfgfqw,2022-02-13 17:22:10.353228,707605,49428,395504
188,toma,2022-02-13 17:22:10.353228,805276,410163,66090
189,deita,2022-02-13 17:22:10.353228,854041,291858,566669
190,xap,2022-02-13 17:22:10.354230,14658,770717,89932
191,wegrerfgfqw,2022-02-13 17:22:10.354230,278504,61426,383004
192,xap,2022-02-13 17:22:10.354230,683746,217826,992438
193,wegrerfgfqw,2022-02-13 17:22:10.354230,227069,32541,176941
194,werterfef,2022-02-13 17:22:10.354230,2780,609422,527884
195,xap,2022-02-13 17:22:10.354230,68353,865917,833265
196,deita,2022-02-13 17:22:10.354230,751748,823019,947014
197,wegrerfgfqw,2022-02-13 17:22:10.355229,721232,419222,743478
198,egrhtjer4f,2022-02-13 17:22:10.355229,617235,363367,753700
199,xap,2022-02-13 17:22:10.355229,375336,248513,680331
200,werterfef,2022-02-13 17:22:10.355229,624101,818226,861514
201,toma,2022-02-13 17:22:10.355229,728908,32895,228562
202,deita,2022-02-13 17:22:10.355229,302778,856344,336926
203,toma,2022-02-13 17:22:10.355229,628108,816289,40022
204,haha,2022-02-13 17:22:10.356227,682209,216119,449630
205,deita,2022-02-13 17:22:10.356227,381297,57830,691188
206,xap,2022-02-13 17:22:10.356227,63897,335833,407927
207,xap,2022-02-13 17:22:10.356227,473127,666962,980522
208,haha,2022-02-13 17:22:10.356227,837697,371016,372864
209,xap,2022-02-13 17:22:10.356227,729058,921406,981650
210,alou,2022-02-13 17:22:10.356227,208852,823796,258026
211,toma,2022-02-13 17:22:10.357228,541361,741066,325501
212,wegrerfgfqw,2022-02-13 17:22:10.357228,125306,199806,637650
213,werterfef,2022-02-13 17:22:10.357228,374748,993801,787853
214,toma,2022-02-13 17:22:10.357228,931634,327324,559753
215,egrhtjer4f,2022-02-13 17:22:10.357228,427095,270482,607493
216,rhtrg,2022-02-13 17:22:10.357228,253981,148151,298946
217,werterfef,2022-02-13 17:22:10.357228,11842,399882,994614
218,wegrerfgfqw,2022-02-13 17:22:10.358229,830069,855711,198427
219,toma,2022-02-13 17:22:10.358229,908122,748023,637018
220,wegrerfgfqw,2022-02-13 17:22:10.358229,240888,704779,604877
221,xap,2022-02-13 17:22:10.358229,611652,575520,496315
222,toma,2022-02-13 17:22:10.358229,54207,475105,174717
223,deita,2022-02-13 17:22:10.358229,44096,635606,570402
224,toma,2022-02-13 17:22:10.358229,528772,272109,237906
225,egrhtjer4f,2022-02-13 17:22:10.359230,869258,627648,934122
226,deita,2022-02-13 17:22:10.359230,864273,233129,40495
227,xap,2022-02-13 17:22:10.359230,791227,731556,120683
228,toma,2022-02-13 17:22:10.359230,589126,33236,845483
229,alou,2022-02-13 17:22:10.359230,445296,874194,968278
230,deita,2022-02-13 17:22:10.359230,677694,119183,529152
231,wegrerfgfqw,2022-02-13 17:22:10.359230,474893,434824,325169
232,rhtrg,2022-02-13 17:22:10.359230,658083,125638,645692
233,deita,2022-02-13 17:22:10.360229,511672,738044,156943
234,rhtrg,2022-02-13 17:22:10.360229,673662,730584,37689
235,alou,2022-02-13 17:22:10.360229,544865,843289,888260
236,toma,2022-02-13 17:22:10.360229,832823,398025,818167
237,werterfef,2022-02-13 17:22:10.360229,900848,752216,628855
238,wegrerfgfqw,2022-02-13 17:22:10.360229,522146,697203,776665
239,alou,2022-02-13 17:22:10.360229,904069,208693,506671
240,haha,2022-02-13 17:22:10.361230,447694,647402,635170
241,haha,2022-02-13 17:22:10.361230,321408,212835,485989
242,haha,2022-02-13 17:22:10.361230,826936,212564,528356
243,werterfef,2022-02-13 17:22:10.361230,437995,16255,300098
244,alou,2022-02-13 17:22:10.361230,140356,837758,654051
245,toma,2022-02-13 17:22:10.361230,487848,915262,479948
246,egrhtjer4f,2022-02-13 17:22:10.361230,905541,804253,894424
247,wegrerfgfqw,2022-02-13 17:22:10.362233,11803,818924,613621
248,wegrerfgfqw,2022-02-13 17:22:10.362233,80280,644653,668172
249,alou,2022-02-13 17:22:10.362233,866272,825818,896792
250,alou,2022-02-13 17:22:10.362233,955740,685126,783421
251,haha,2022-02-13 17:22:10.362233,693603,840157,800170
252,deita,2022-02-13 17:22:10.362233,366947,657551,946078
253,xap,2022-02-13 17:22:10.362233,368264,194342,782230
254,rhtrg,2022-02-13 17:22:10.363231,202060,286809,10854
255,toma,2022-02-13 17:22:10.363231,127512,636985,977366
256,rhtrg,2022-02-13 17:22:10.363231,607677,401203,400441
257,haha,2022-02-13 17:22:10.363231,210723,422230,459113
258,werterfef,2022-02-13 17:22:10.363231,195991,497146,848379
259,deita,2022-02-13 17:22:10.363231,729619,780398,997454
260,rhtrg,2022-02-13 17:22:10.363231,285461,899622,959337
261,xap,2022-02-13 17:22:10.363231,513417,196576,913691
262,wegrerfgfqw,2022-02-13 17:22:10.364229,510595,558852,36054
263,egrhtjer4f,2022-02-13 17:22:10.364229,720101,297858,159000
264,toma,2022-02-13 17:22:10.364229,24563,269984,607320
265,xap,2022-02-13 17:22:10.364229,424903,870342,524403
266,rhtrg,2022-02-13 17:22:10.364229,274646,969696,704362
267,alou,2022-02-13 17:22:10.364229,308264,600914,751482
268,toma,2022-02-13 17:22:10.364229,818295,771027,124155
269,haha,2022-02-13 17:22:10.365227,550309,35273,921641
270,rhtrg,2022-02-13 17:22:10.365227,437564,584743,665381
271,deita,2022-02-13 17:22:10.365227,825803,689873,530055
272,rhtrg,2022-02-13 17:22:10.365227,503832,102649,995013
273,rhtrg,2022-02-13 17:22:10.365227,266473,90329,554481
274,egrhtjer4f,2022-02-13 17:22:10.365227,319711,996819,376622
275,xap,2022-02-13 17:22:10.365227,489628,864374,894298
276,haha,2022-02-13 17:22:10.365227,114067,313170,932677
277,wegrerfgfqw,2022-02-13 17:22:10.365227,469290,160850,888580
278,werterfef,2022-02-13 17:22:10.366229,900519,243461,156217
279,egrhtjer4f,2022-02-13 17:22:10.366229,872585,177752,605374
280,egrhtjer4f,2022-02-13 17:22:10.366229,46861,725584,781097
281,alou,2022-02-13 17:22:10.366229,54197,950395,668241
282,werterfef,2022-02-13 17:22:10.366229,672721,838090,108126
283,haha,2022-02-13 17:22:10.366229,365455,750413,286788
284,werterfef,2022-02-13 17:22:10.366229,634402,288193,630116
285,rhtrg,2022-02-13 17:22:10.366229,319896,64472,185321
286,deita,2022-02-13 17:22:10.366229,797736,829194,462660
287,alou,2022-02-13 17:22:10.366229,660745,306244,850619
288,werterfef,2022-02-13 17:22:10.366229,580761,90368,79836
289,werterfef,2022-02-13 17:22:10.367228,329513,479989,782158
290,rhtrg,2022-02-13 17:22:10.367228,383369,810086,885
291,wegrerfgfqw,2022-02-13 17:22:10.367228,895929,461636,163699
292,wegrerfgfqw,2022-02-13 17:22:10.367228,583949,194074,975898
293,deita,2022-02-13 17:22:10.367228,72734,307141,585289
294,werterfef,2022-02-13 17:22:10.367228,253179,442430,505127
295,alou,2022-02-13 17:22:10.367228,177599,430947,462027
296,deita,2022-02-13 17:22:10.367228,253598,5390,778670
297,rhtrg,2022-02-13 17:22:10.367228,595830,765330,512146
298,wegrerfgfqw,2022-02-13 17:22:10.368229,702927,36722,745636
299,werterfef,2022-02-13 17:22:10.368229,242406,543691,84943
300,toma,2022-02-13 17:22:10.368229,366995,594702,299857
301,wegrerfgfqw,2022-02-13 17:22:10.368229,503684,483741,921701
302,alou,2022-02-13 17:22:10.368229,787115,229091,93842
303,alou,2022-02-13 17:22:10.368229,219692,17175,116016
304,wegrerfgfqw,2022-02-13 17:22:10.368229,373301,467704,731647
305,alou,2022-02-13 17:22:10.368229,343412,659288,372897
306,toma,2022-02-13 17:22:10.368229,182285,627267,986346
307,haha,2022-02-13 17:22:10.369228,656208,397975,646841
308,werterfef,2022-02-13 17:22:10.369228,325221,246672,287880
309,haha,2022-02-13 17:22:10.369228,798902,146080,166322
310,alou,2022-02-13 17:22:10.369228,896454,245245,6127
311,toma,2022-02-13 17:22:10.369228,899552,266251,974832
312,haha,2022-02-13 17:22:10.369228,771650,189144,329680
313,wegrerfgfqw,2022-02-13 17:22:10.369228,344351,451913,123154
314,xap,2022-02-13 17:22:10.369228,389374,486082,730971
315,rhtrg,2022-02-13 17:22:10.370229,351900,252437,797503
316,deita,2022-02-13 17:22:10.370229,981347,250215,99693
317,wegrerfgfqw,2022-02-13 17:22:10.370229,816538,44935,835569
318,wegrerfgfqw,2022-02-13 17:22:10.370229,536239,302051,183159
319,egrhtjer4f,2022-02-13 17:22:10.370229,346015,760735,461118
320,haha,2022-02-13 17:22:10.370229,402419,173452,463864
321,haha,2022-02-13 17:22:10.370229,229257,127049,749074
322,alou,2022-02-13 17:22:10.370229,696690,458712,516775
323,haha,2022-02-13 17:22:10.370229,499511,479995,918471
324,rhtrg,2022-02-13 17:22:10.371228,45645,468572,610661
325,werterfef,2022-02-13 17:22:10.371228,357878,794542,213315
326,deita,2022-02-13 17:22:10.371228,456179,37897,701793
327,rhtrg,2022-02-13 17:22:10.371228,731487,312779,843802
328,deita,2022-02-13 17:22:10.371228,573052,282653,699059
329,xap,2022-02-13 17:22:10.371228,511560,951353,7027
330,haha,2022-02-13 17:22:10.371228,148878,149190,81243
331,toma,2022-02-13 17:22:10.371228,963690,743295,473490
332,haha,2022-02-13 17:22:10.371228,876669,938144,642964
333,egrhtjer4f,2022-02-13 17:22:10.372228,636913,977894,508429
334,egrhtjer4f,2022-02-13 17:22:10.372228,902887,908936,868559
335,toma,2022-02-13 17:22:10.372228,377583,786718,282105
336,deita,2022-02-13 17:22:10.372228,672314,532246,487503
337,deita,2022-02-13 17:22:10.372228,276932,787429,181123
338,xap,2022-02-13 17:22:10.372228,285768,327667,409240
339,alou,2022-02-13 17:22:10.372228,665016,368667,236519
340,rhtrg,2022-02-13 17:22:10.372228,898068,454024,316646
341,wegrerfgfqw,2022-02-13 17:22:10.372228,635579,655327,453266
342,haha,2022-02-13 17:22:10.373229,703436,521626,672870
343,werterfef,2022-02-13 17:22:10.373229,18938,777586,127683
344,deita,2022-02-13 17:22:10.373229,94438,619840,80745
345,wegrerfgfqw,2022-02-13 17:22:10.373229,520449,706353,953961
346,rhtrg,2022-02-13 17:22:10.373229,145198,911061,495859
347,alou,2022-02-13 17:22:10.373229,495275,8554,189768
348,deita,2022-02-13 17:22:10.374228,285051,269009,309925
349,deita,2022-02-13 17:22:10.374228,429738,10973,456575
350,deita,2022-02-13 17:22:10.374228,225280,193655,165301
351,wegrerfgfqw,2022-02-13 17:22:10.374228,858960,794208,928235
352,haha,2022-02-13 17:22:10.374228,983597,876044,612674
353,deita,2022-02-13 17:22:10.375228,738503,761917,710837
354,xap,2022-02-13 17:22:10.375228,798761,838200,238268
355,toma,2022-02-13 17:22:10.375228,731453,370693,751849
356,deita,2022-02-13 17:22:10.375228,441175,106669,476032
357,werterfef,2022-02-13 17:22:10.375228,187184,681039,946200
358,deita,2022-02-13 17:22:10.376231,352256,502718,275228
359,alou,2022-02-13 17:22:10.376231,176339,333880,321864
360,haha,2022-02-13 17:22:10.376231,738417,913850,382992
361,egrhtjer4f,2022-02-13 17:22:10.376231,704832,916911,388011
362,rhtrg,2022-02-13 17:22:10.376231,260623,267948,897156
363,deita,2022-02-13 17:22:10.376231,551646,719408,386412
364,deita,2022-02-13 17:22:10.377228,682815,750637,753609
365,haha,2022-02-13 17:22:10.377228,449640,789298,193526
366,wegrerfgfqw,2022-02-13 17:22:10.377228,764620,16405,272247
367,toma,2022-02-13 17:22:10.377228,804014,301005,250828
368,egrhtjer4f,2022-02-13 17:22:10.377228,46189,523034,44599
369,xap,2022-02-13 17:22:10.377228,227020,842034,391758
370,xap,2022-02-13 17:22:10.377228,324817,784301,871436
371,egrhtjer4f,2022-02-13 17:22:10.378230,780382,589093,285532
372,deita,2022-02-13 17:22:10.378230,803915,487273,963472
373,rhtrg,2022-02-13 17:22:10.378230,713123,885115,304133
374,wegrerfgfqw,2022-02-13 17:22:10.378230,238447,682884,671894
375,egrhtjer4f,2022-02-13 17:22:10.378230,676446,239659,576686
376,werterfef,2022-02-13 17:22:10.378230,389752,750251,299586
377,werterfef,2022-02-13 17:22:10.378230,69733,302854,378246
378,alou,2022-02-13 17:22:10.379232,370591,837524,383170
379,werterfef,2022-02-13 17:22:10.379232,491091,325373,966676
380,haha,2022-02-13 17:22:10.379232,523657,840742,151846
381,alou,2022-02-13 17:22:10.379232,510667,523598,254811
382,egrhtjer4f,2022-02-13 17:22:10.379232,673163,361691,759152
383,deita,2022-02-13 17:22:10.379232,300092,177565,484391
384,wegrerfgfqw,2022-02-13 17:22:10.379232,375407,983836,707613
385,wegrerfgfqw,2022-02-13 17:22:10.380232,932988,207221,538904
386,alou,2022-02-13 17:22:10.380232,46923,273669,994150
387,haha,2022-02-13 17:22:10.380232,12264,68770,773179
388,haha,2022-02-13 17:22:10.380232,224755,833779,448634
389,xap,2022-02-13 17:22:10.380232,465794,694577,187571
390,xap,2022-02-13 17:22:10.380232,470922,581490,96633
391,alou,2022-02-13 17:22:10.380232,798843,38358,154009
392,egrhtjer4f,2022-02-13 17:22:10.380232,58689,481075,967365
393,xap,2022-02-13 17:22:10.381228,348871,951316,166680
394,haha,2022-02-13 17:22:10.381228,226046,116761,872729
395,haha,2022-02-13 17:22:10.381228,91378,982024,223838
396,deita,2022-02-13 17:22:10.381228,722638,365381,921946
397,alou,2022-02-13 17:22:10.381228,159995,222736,438169
398,alou,2022-02-13 17:22:10.381228,84626,736075,749875
399,toma,2022-02-13 17:22:10.381228,43850,571895,358018
400,xap,2022-02-13 17:22:10.381228,131084,930488,460089
401,toma,2022-02-13 17:22:10.382231,323482,314557,939820
402,toma,2022-02-13 17:22:10.382231,485444,441385,397770
403,toma,2022-02-13 17:22:10.382231,245042,951053,940270
404,deita,2022-02-13 17:22:10.382231,443336,869028,828254
405,xap,2022-02-13 17:22:10.382231,356652,300931,322361
406,rhtrg,2022-02-13 17:22:10.382231,807628,745206,361650
407,rhtrg,2022-02-13 17:22:10.382231,342450,457615,776356
408,rhtrg,2022-02-13 17:22:10.382231,691296,550227,804549
409,egrhtjer4f,2022-02-13 17:22:10.382231,712768,170838,39352
410,egrhtjer4f,2022-02-13 17:22:10.383228,563121,431977,777253
411,egrhtjer4f,2022-02-13 17:22:10.383228,53651,109909,246312
412,egrhtjer4f,2022-02-13 17:22:10.383228,394457,154032,61327
413,egrhtjer4f,2022-02-13 17:22:10.383228,338047,442133,345409
414,deita,2022-02-13 17:22:10.383228,849282,210848,705683
415,deita,2022-02-13 17:22:10.383228,101955,166757,864198
416,xap,2022-02-13 17:22:10.383228,847735,618384,438257
417,wegrerfgfqw,2022-02-13 17:22:10.383228,954576,997235,117167
418,toma,2022-02-13 17:22:10.383228,33272,808254,596558
419,deita,2022-02-13 17:22:10.384228,107075,997271,792132
420,alou,2022-02-13 17:22:10.384228,515334,382323,447126
421,toma,2022-02-13 17:22:10.384228,837452,45621,631863
422,haha,2022-02-13 17:22:10.384228,275508,499469,207162
423,xap,2022-02-13 17:22:10.384228,173398,445868,892928
424,toma,2022-02-13 17:22:10.384228,144650,255723,820643
425,werterfef,2022-02-13 17:22:10.384228,41461,784826,191996
426,xap,2022-02-13 17:22:10.384228,994853,29387,550736
427,haha,2022-02-13 17:22:10.384228,345480,725517,249644
428,alou,2022-02-13 17:22:10.385227,534444,883167,185474
429,xap,2022-02-13 17:22:10.385227,725651,142192,762873
430,egrhtjer4f,2022-02-13 17:22:10.385227,194594,181286,809029
431,xap,2022-02-13 17:22:10.385227,925846,796257,413776
432,rhtrg,2022-02-13 17:22:10.385227,174278,227736,656580
433,rhtrg,2022-02-13 17:22:10.385227,71219,802129,990609
434,werterfef,2022-02-13 17:22:10.385227,358590,334473,343767
435,wegrerfgfqw,2022-02-13 17:22:10.386230,856135,211615,883294
